Index Roll Pitch Yaw
92 4.705477220756775 -0.7981505326173431 0.8344066235049028
93 -1.5138764947426537 -0.7803007686796486 0.7888731591502021
94 -1.5193932706126971 -0.7922539482668532 0.7845094454558068
95 -1.525201094409287 -0.8035510634665295 0.7808463308185156
96 -1.5308144945348499 -0.8147374368865204 0.7772634433723016
97 -1.5362345350389623 -0.8258182738428222 0.7737410347235119
98 -1.5414613863076454 -0.83679858200621 0.7702600031062765
99 -1.5464943144146428 -0.8476831198080671 0.7668018149198126
100 -1.5513316721686525 -0.8584763556939826 0.7633484272635762
101 -1.555970890863751 -0.8691824365680255 0.7598822114846602
102 -1.5604084718678246 -0.879805163940261 0.7563858776581442
103 -1.5646399773162982 -0.8903479764394207 0.7528423998707603
104 -1.5686600193037599 -0.900813937489365 0.7492349421533016
