Index Joint1 Joint2 Joint3 Joint4 Joint5 Joint6
68 -2.959928846550816e-06 -2.301256058912108e-06 -9.51584092698043e-05 -3.261194244803218e-05 6.89175782299292e-07 0.0
69 -9.00863768896768e-07 -4.783857597442671e-06 -9.769564540788666e-05 -3.246836644166743e-05 1.0464453280570036e-06 0.0
70 9.788853576595773e-07 -7.083590205916563e-06 -9.99776481097357e-05 -3.2298591202151194e-05 1.335766840697695e-06 0.0
71 2.6987194632654513e-06 -9.20097869568418e-06 -0.00010202287650872555 -3.2108799601479374e-05 1.5677077264084957e-06 0.0
72 -8.565549959182606e-07 -1.5338249392468714e-05 -0.0001078472090163238 -3.224681457184498e-05 6.860609704966414e-08 0.0
73 8.962491507684084e-07 -1.6751842797690282e-05 -0.00010901020354968107 -3.2005058865157306e-05 3.6810599998075507e-07 0.0
74 2.5112226455250474e-06 -1.8043508650123286e-05 -0.00011004341864574832 -3.175927967923894e-05 6.210485654617282e-07 0.0
75 4.004705417294291e-06 -1.9216750234614688e-05 -0.00011095594827166826 -3.151099214503341e-05 8.349684889499226e-07 0.0
76 5.3906742357817095e-06 -2.0276408807319723e-05 -0.00011175591062001817 -3.1260909325641785e-05 1.0161400645567276e-06 0.0
77 1.7085626476265521e-06 -2.53420108828037e-05 -0.0001156965673083199 -3.1165882230086366e-05 -3.6391928101616814e-07 0.0
78 3.1592352146626726e-06 -2.5834591085675262e-05 -0.00011587600597191955 -3.090647396452869e-05 -1.0542782989742963e-07 0.0
79 4.518131371388543e-06 -2.627258121204685e-05 -0.00011601746658935527 -3.064975144544727e-05 1.253467892500853e-07 0.0
80 5.794937364574482e-06 -2.66568413467988e-05 -0.00011612026490248766 -3.0394822132810913e-05 3.324697980641921e-07 0.0
81 6.997524889934647e-06 -2.6988804179271263e-05 -0.00011618394513741613 -3.014071540539949e-05 5.192125222093632e-07 0.0
82 8.132250064759934e-06 -2.7270252092702353e-05 -0.00011620848619790717 -2.9886524075946748e-05 6.882017463128099e-07 0.0
83 4.237565394384113e-06 -3.145419203535317e-05 -0.00011862937448526779 -2.964259904058607e-05 -6.458742311240923e-07 0.0
84 4.436797770705769e-06 -4.328323849124269e-05 -0.00012840426826221096 -2.9142579854972997e-05 -2.3275121559774865e-06 0.0
85 -1.8432346322167693e-05 -2.588151215446575e-05 -9.408411381199229e-05 -2.2746265714972705e-05 -8.778119047769695e-06 0.0
86 -1.719034643075219e-05 -2.9595212711388187e-05 -9.724498185450665e-05 -2.253808032255386e-05 -8.975127950439128e-06 0.0
87 -1.882876119759019e-05 -1.1954172627617797e-05 -4.660016941418985e-05 -1.1444741003649007e-05 -7.543007325724759e-06 0.0
88 -1.7533393415486e-05 -1.1920361135987648e-05 -4.735752212978765e-05 -1.1618222552913476e-05 -7.1056808188937765e-06 0.0
89 -1.6320149082371752e-05 -1.1895918004714753e-05 -4.808878680066668e-05 -1.1777040080380102e-05 -6.701413551887828e-06 0.0
90 -1.518021475093907e-05 -1.1886015525680902e-05 -4.878835089721276e-05 -1.191765096318616e-05 -6.327745715935795e-06 0.0
91 -1.410841480570243e-05 -1.1892765890202066e-05 -4.945209833203209e-05 -1.2038134254119665e-05 -5.983048518197008e-06 0.0
92 -1.3101664056283302e-05 -1.1916390510856042e-05 -5.007769506764599e-05 -1.2137833743556805e-05 -5.666110756241053e-06 0.0
